LANGUAGE=ESPERANTO
¡oh;oh
homoj;people
horloĝo;clock *horloge (fr)
horo;hour
hundo;dog *hound
iam;ever *remember iam = ever, iom = bit/little
ideon;idea
ili;they
iliaj;their *ili = they
ilin;them *ili (they) + n (accusative)
ilo;tool *used as a suffix too
imagu;imagine
indiki;indicate
industrio;industry
infano;child *infant
infanoj;children *infants
inkluzivi;include
insekto;insect
instrumento;instrument
instruos;teach *instruct
insulo;island
inter;among, between
intereso;interest
interkonsenti;agree
interkonsento;deal, agreement
interpunkcio;score
iom;bit, little *remember iam = ever, iom = bit/little
iri;go
iritaj;gone *iri = go
iuj;some
jarcento;century *year 100
jardo;yard
jaro;year
jes;yes
ĵeti;throw *jeter (fr)
junulo;young
kaj;and
kalkuli;count *calculate
kamiono;truck
kampo;field *champ (fr)
kanti;sing *canton
kanto;song *canton
kapitano;captain *CAPITANO
kapo;head
kaptita;caught
kara;dear
karto;card
kato;cat
kaŭzo;cause *CAUSO
ke;that
kial;why
kialo;reason *kial = why
kiam;when *A.M. is a time
kie;where *wherE ends in an E
kiel;an, as, like *remember kial = why, kiel = an/as/like
kies;whose
kio;what, which *o = noun
kiom;how *om = quantity
kiu;who *u = individuals
klaso;class
knabino;girl
knabo;boy
kolekti;collect, gather
kolero;anger *colère (fr)
kolo;neck *collar
kolonio;colony
kolono;column
koloro;color, colour *kolero = anger, koloro = colour
komenci;begin, start *commence
komencis;began, started *commence
komenco;start *commence
komerco;trade *commerce
kompanio;company
kompari;compare
kompleta;complete
kompreneble;course, understandably
komunaj;common
kondamno;sentence *condemn
kondiĉo;condition
konduki;lead *conductor
kondukis;led *conductor
konekti;connect
konko;shell *conch
konservi;keep, conserve
konservis;kept, conserved
konsideri;consider
konsonanto;consonant
konstrui;build, construct
kontinento;continent
kontraŭ;against
kontraŭa;opposite *kontraŭ = against
kontroli;check
kontrolo;control
kopio;copy
kordo;string *cord
koro;heart *cœur (fr)
korpo;body *corps (fr)
kosto;cost
kostumo;suit, costume
kotono;cotton
kovrilo;cover *ilo = tool
kredas;believe *croire (fr)
krei;create
kreski;grow
kreskis;grew
krio;cry, shout *CRYO
krom;except
kropo;crop *CROPO
kruĉo;jug, pot *remember kruro = leg
kruro;leg
kuiristino;cook
kun;with
kune;together *kun = with
kunvenas;meet
kuracisto;doctor *lit. cure professional
kuris;ran *courir (fr)
kuŝis;lay
kutima;usual *custom
kvadrata;square *quadrilateral
kvankam;though
kvar;four *kvar = 4 kvin = 5
kvarto;quart *kvar = 4
kvin;five *kvar = 4 kvin = 5
kvociento;quotient
la;the
laboro;job, work
lago;lake
lakto;milk *lactose
lando;country, land *land
larĝa;broad, wide *large
lasta;final, last *last
lasu;let
laŭta;loud
lavita;wash *lavatory
legi;read
leĝo;law *legislation
lernantino;student *learner female
lernejo;school *learning place
lerni;learn
lerto;skill
letero;letter
leviĝis;rose *levitate
li;he, him
libro;book *library
ligno;wood *remember line = linio
likva;liquid
lingvo;language
linio;line
literumi;spell
lito;bed *lit (fr)
lokalizi;locate, localise
loko;place, location
longa;long
longo;length *long noun
ludo;game
ludos;play *ludi = to play
lukto;fight
luno;moon *lune (fr)
magneto;magnet
majstro;master *maestro
malalta;low *alta = high
malamiko;enemy *amiko = friend
malantaŭ;behind *antaŭ = before
malbona;bad *bona = good
malbrua;silent *opposite of noise
maldekstra;left *opposite of right
maldika;thin *opposite of thick
malfacila;difficult, hard *opposite of easy
malfelicxo;trouble
malfermita;open *opposite of closed
malfrue;late
malgranda;small
malĝusta;wrong
mallonga;short
mallumo;dark
malmultaj;few
malnova;old *nova = new
malpeza;light *peza = heavy
malpli;less *pli = more
malproksima;distant
malproksime;far
malrapida;slow *opposite of fast
malriĉa;poor
malsupren;down *supren = up
malsupro;bottom
malvarma;cold
malvarmeta;cool
manĝi;eat *manger (fr)
manoj;hands *mains (fr)
mapo;map
marbordo;coast *lit. sea border
marko;mark
maro;sea *mer (fr)
marŝi;walk *march
maŝino;machine
maso;mass
mateno;morning
materialo;material
mejlo;mile
melodio;melody
memori;remember
menso;mind *MENSA organisation
mensogo;lie *mensonge (fr)
merkato;market
metalo;metal
metita;put *mettre (fr)
metodo;method
mezo;middle *meso
mezuri;measure
mi;i
miaj;mine, my
mian;my
miksi;mix
miliono;million
milito;war *militi (wage war) + o, remember militistaro = military
milo;thousand
min;me
minuto;minute
modernaj;modern
mola;soft *malleable
molekulo;molecule
momento;moment
monato;ago, month
mondo;world *monde (fr)
monon;money
monto;hill, mount, mountain
morti;die
mortigi;kill
mortinto;dead
morto;death
motoro;engine, motor
movado;motion, move
multa;lot, much *multi
multaj;many *multi
multipliki;multiply
muro;wall *mural
muŝo;fly *mouche (fr)
muziko;music
nacio;nation
naĝi;swim *nager (fr)
natura;natural
naturo;nature
naŭ;nine
nazo;nose
ne faros;won’t
necesajn;necessary
neĝo;snow *neige (fr)
nek;nor *remember nek = nor, kolo = neck
neniam;never *neni = negation prefix, am = time suffix
nenio;nothing *neni = negation prefix + o
neniu;no
ni;we *nous (fr)
nian;our *ni + a + n
nigra;black
nin;us *ni + n
nivelo;level *niveau (fr)
nokto;night *nocturnal
nombro;number
nomo;name *nom (fr)
norde;north *nord (fr)
noto;note
nova;new
nubo;cloud *nue (fr) = archaic term for cloud
numeralo;numeral
nun;now *same as german NUN
nur;only *same as german NUR
nutraĵo;food *nutrition
objekto;object *OBJECTO
observi;observe
oceano;ocean
oferto;offer
oficejo;office *lit. office place
ofte;often
ok;eight *oct
okazaĵo;event, occasion *okazo (event) + aĵo (manifestation)
okazi;happen, occur *occasion
okazo;case
okcidenta;west
oksigeno;oxygen
okulo;eye *ocular
okupata;busy *occupied
ol;than
ondo;wave *onde (fr)
ordon;order
orelo;ear *oreille (fr)
organo;organ
oriente;east *oriental
originala;original
oro;gold *or (fr)
osto;bone
ovo;egg
pafilo;gun *pafi + ilo (tool)
pagi;pay
paĝo;page
pano;bread *pain (fr)
papero;paper
paragrafo;paragraph *PARAGRAPHO
paro;pair
parolado;speech *paroli = speak
paroli;speak, talk *parler (fr)
parolis;spoke *paroli + is
parto;part
pasi;pass
paŝo;step *remember pasio = passion
patrino;mother *patro (father) + ino
patro;father
paŭzo;break, pause
peco;piece
pensas;think *penser (fr)
pensis;thought *penser (fr)
pentri;paint *peindre (fr)
per;by, through
perdita;lost *perdi = to lose
periodo;period
permesi;allow, permit
persono;person
persvadis;fit
petrolo;oil *petrol
peza;heavy
pezo;weight
piedo;foot *pied (fr)
piedojn;feet *pied (fr)
pilko;ball
planedo;planet
planko;floor, soil *plank
plano;plan
planto;plant
plata;flat *a plate is flat
plej;most *remember pli = more, plej = most
plena;full
plenigi;fill
pli;better, more
pluraj;several *plural
pluralo;plural
pluvo;rain *pleuvoir (fr)
pneŭo;tire, tyre
poemo;poem
pomon;apple *pomme (fr)
popoli;populate
por;for, to *pour (fr)
pordo;door *portal
porti;carry
post;after
posteno;post
postuli;require, claim, demand
potenco;might, power *potency
povas;can *povi = to be able to, pouvoir (fr)
povis;able, could *povi = to be able to, pouvoir (fr)
pozicion;position
praktiko;practice
preni;take
prenis;took *preni + is
preta;ready *prêt (fr), 'prêt à manger' means ready to eat
pretendo;claim
pretigi;prepare
printempo;spring *printemps (fr)
priskribi;describe *pri (about) + skribi (write), remember preskribi = prescribe
prizorgi;care *pri (about) + zorgi (worry)
probabla;probable
problemo;problem
procezo;process
produkti;produce
produkto;product
profunda;deep *profound
proksime;near
proksimulo;neighbor, neighbour *proksima (close) + ulo (person)
proksimume;about *proximity
propra;own *property
propraĵo;property
protekti;protect
provizado;supply *provision
provizi;provide
provu;try
punkto;point, spot *punkt (de)
purigi;clean *purify
puŝo;push *pusho
radiko;root *radical
radio;radio
rado;wheel
rakontis;told *recount
rakonto;story, tale *recount
rapida;fast, quick *rapid
rapidi;hurry *rapida = fast
rapido;speed *rapida = fast
raso;race *remember razilo = razor
reala;real
reen;back
regi;govern, rule
regiono;region
reĝo;king
regulo;rule
rekordo;record
rekta;direct, straight *rectus
reprezentas;represent
respondi;reply, answer, respond
respondo;answer, response
resti;stay *rester (fr)
resto;rest
rezulto;result
riĉa;rich *RICHA
ricevos;receive
rideto;smile *rido (laugh) + eto (diminished)
rido;laugh
rigardi;look *regarder (fr)
rilate;toward
ringon;ring
ripeto;repeat
rivero;river
robo;dress *robe
roko;rock
rompis;broke *romper (fr)
ronda;round
rondo;circle
ruĝa;red
rulo;roll
sablo;sand
ŝablono;pattern *NOT sablo = sand
ŝajnas;seem
sala;salty *sal + a
salti;jump *saltation
sama;same
ŝanco;chance
sango;blood *sang (fr)
ŝanĝo;change
ŝarĝi;charge
scias;know
scienco;science
sciis;knew
se;if *si (fr)
sed;but
segilo;saw
segmento;segment
seĝo;chair, seat
seka;dry *remember sep = seven, seka = dry, sekva = next, sekvi = follow
sekcio;section, stretch *SECTSIO
sekura;safe *secure
sekva;next *remember sep = seven, seka = dry, sekva = next, sekvi = follow
sekvi;follow *remember sep = seven, seka = dry, sekva = next, sekvi = follow
semajno;week *semaine (fr)
semoj;seeds
sendis;sent *sendi + is
sendu;send *sendi + u
senpaga;free *sen (without) + paga (payment)
sentas;feel *senti + as
sentis;felt *sentir (fr)
sento;sense *senti + o
sep;seven *sept (fr)
serĉo;search
servas;serve
ses;six
sezono;season
ŝi;she
ŝia;her
siavice;turn
sidiĝi;sit down *sidi (sit) + iĝi (change of state)
signifis;meant
signifus;mean
signo;sign
silabo;syllable
ŝildo;coat *shield
simbolo;symbol
simila;similar
simpla;simple
simple;just
ŝipo;ship
sistemo;system
skalo;scale
skatolo;box
sklavo;slave
skribi;write *scribe
skribis;wrote *scribe
skribita;written *scribe
ŝlosilo;key *ŝlosi (to lock) + ilo
ŝnuro;rope
sola;single *solitary
soldato;soldier
solvi;solve
solvo;solution
someron;summer
sonĝi;dream *songe (fr) literary term for dream
